Company,Metric,Period,Value
Intel,Total Revenue,FQ 1Q25,12667000
Intel,Total Revenue,FQ 4Q24,14260000
Intel,Total Revenue,FQ 3Q24,13284000
Intel,Total Revenue,FQ 2Q24,12833000
Intel,Total Revenue,FQ 1Q24,12724000
Intel,Total Revenue,FQ 4Q23,15406000
Intel,Total Revenue,FQ 3Q23,14158000
Intel,Total Revenue,FQ 2Q23,12949000
Intel,Total Revenue,FQ 1Q23,11715000
Intel,Total Revenue,FQ 4Q22,14042000
Intel,Total Revenue,FQ 3Q22,15338000
Intel,Total Revenue,FQ 2Q22,15321000
Intel,Total Revenue,FQ 1Q22,18353000
Intel,Total Revenue,FQ 4Q21,20528000
Intel,Total Revenue,FQ 3Q21,19192000
Intel,Total Revenue,FQ 2Q21,19631000
Intel,Total Revenue,FQ 1Q21,19673000
Intel,Total Revenue,FQ 4Q20,19978000
Intel,Total Revenue,FQ 3Q20,18333000
Intel,Total Revenue,FQ 2Q20,19728000
Intel,Total Revenue,FQ 1Q20,19828000
Intel,Total Revenue,FQ 4Q19,20209000
Intel,Total Revenue,FQ 3Q19,19190000
Intel,Total Revenue,FQ 2Q19,16505000
Intel,Total Revenue,FQ 1Q19,16061000
Intel,Total Revenue,FQ 4Q18,18657000
Intel,Total Revenue,FQ 3Q18,19163000
Intel,Total Revenue,FQ 2Q18,16962000
Intel,Total Revenue,FQ 1Q18,16066000
Intel,Total Revenue,FQ 4Q17,17053000
Intel,Total Revenue,FQ 3Q17,16149000
Intel,Total Revenue,FQ 2Q17,14763000
Intel,Total Revenue,FQ 1Q17,14796000
Intel,Total Revenue,FQ 4Q16,16374000
Intel,Total Revenue,FQ 3Q16,15778000
Intel,Total Revenue,FQ 2Q16,13533000
Intel,Total Revenue,FQ 1Q16,13702000
Intel,Total Revenue,FQ 4Q15,14914000
Intel,Total Revenue,FQ 3Q15,14465000
Intel,Total Revenue,FQ 2Q15,13195000
Intel,Total Revenue,FQ 1Q15,12781000
Intel,Total Revenue,FQ 4Q14,14721000
Intel,Total Revenue,FQ 3Q14,14554000
Intel,Total Revenue,FQ 2Q14,13831000
Intel,Total Revenue,FQ 1Q14,12764000
Intel,Total Revenue,FQ 4Q13,13834000
Intel,Total Revenue,FQ 3Q13,13483000
Intel,Total Revenue,FQ 2Q13,12811000
Intel,Total Revenue,FQ 1Q13,12580000
Intel,Total Revenue,FQ 4Q12,13477000
Intel,Total Revenue,FQ 3Q12,13457000
Intel,Total Revenue,FQ 2Q12,13501000
Intel,Total Revenue,FQ 1Q12,12906000
Intel,Total Revenue,FQ 4Q11,13887000
Intel,Total Revenue,FQ 3Q11,14233000
Intel,Total Revenue,FQ 2Q11,13032000
Intel,Total Revenue,FQ 1Q11,12847000
Intel,Total Revenue,FQ 4Q10,11457000
Intel,Total Revenue,FQ 3Q10,11102000
Intel,Total Revenue,FQ 2Q10,10765000
Intel,Total Revenue,FQ 1Q10,10299000
Intel,Total Revenue,FQ 4Q09,10569000
Intel,Total Revenue,FQ 3Q09,9389000
Intel,Total Revenue,FQ 2Q09,8024000
Intel,Total Revenue,FQ 1Q09,7145000
Intel,Total Revenue,FQ 4Q08,8226000
Intel,Total Revenue,FQ 3Q08,10217000
Intel,Total Revenue,FQ 2Q08,9470000
Intel,Total Revenue,FQ 1Q08,9673000
Intel,Total Revenue,FQ 4Q07,10712000
Intel,Total Revenue,FQ 3Q07,10090000
Intel,Total Revenue,FQ 2Q07,8680000
Intel,Total Revenue,FQ 1Q07,8852000
